"GeneID","BCK_eIF4E_RIP_2016.csv~1","JC list_4E interaction proteins.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"ENSG00000063244","BCK_eIF4E_RIP_2016.csv~1.717",NA,NA
"ENSG00000063438","BCK_eIF4E_RIP_2016.csv~1.2563",NA,NA
"ENSG00000063587","BCK_eIF4E_RIP_2016.csv~1.2585",NA,NA
"ENSG00000063601","BCK_eIF4E_RIP_2016.csv~1.872",NA,NA
"ENSG00000063761","BCK_eIF4E_RIP_2016.csv~1.2006",NA,NA
"ENSG00000064393","BCK_eIF4E_RIP_2016.csv~1.3699",NA,NA
"ENSG00000064419","BCK_eIF4E_RIP_2016.csv~1.40",NA,NA
"ENSG00000064547","BCK_eIF4E_RIP_2016.csv~1.3351",NA,NA
"ENSG00000064601","BCK_eIF4E_RIP_2016.csv~1.1525",NA,NA
"ENSG00000064607","BCK_eIF4E_RIP_2016.csv~1.2684",NA,NA
"ENSG00000064666","BCK_eIF4E_RIP_2016.csv~1.463",NA,NA
"ENSG00000064687","BCK_eIF4E_RIP_2016.csv~1.237",NA,NA
"ENSG00000064787","BCK_eIF4E_RIP_2016.csv~1.1770",NA,NA
"ENSG00000064961","BCK_eIF4E_RIP_2016.csv~1.2625",NA,NA
"ENSG00000064999","BCK_eIF4E_RIP_2016.csv~1.1932",NA,NA
"ENSG00000065000","BCK_eIF4E_RIP_2016.csv~1.2243",NA,NA
"ENSG00000065029","BCK_eIF4E_RIP_2016.csv~1.2567",NA,NA
"ENSG00000065060","BCK_eIF4E_RIP_2016.csv~1.354",NA,NA
"ENSG00000065154","BCK_eIF4E_RIP_2016.csv~1.1166",NA,NA
"ENSG00000065308","BCK_eIF4E_RIP_2016.csv~1.2254",NA,NA
"ENSG00000065328","BCK_eIF4E_RIP_2016.csv~1.666",NA,NA
"ENSG00000065357","BCK_eIF4E_RIP_2016.csv~1.1838",NA,NA
"ENSG00000065361","BCK_eIF4E_RIP_2016.csv~1.2564",NA,NA
"ENSG00000065485","BCK_eIF4E_RIP_2016.csv~1.3076",NA,NA
"ENSG00000065491","BCK_eIF4E_RIP_2016.csv~1.1021",NA,NA
"ENSG00000065526","BCK_eIF4E_RIP_2016.csv~1.2810",NA,NA
"ENSG00000065665","BCK_eIF4E_RIP_2016.csv~1.728",NA,NA
"ENSG00000065802","BCK_eIF4E_RIP_2016.csv~1.348",NA,NA
"ENSG00000065882","BCK_eIF4E_RIP_2016.csv~1.343",NA,NA
"ENSG00000065923","BCK_eIF4E_RIP_2016.csv~1.94",NA,NA
"ENSG00000065970","BCK_eIF4E_RIP_2016.csv~1.3057",NA,NA
"ENSG00000066044","BCK_eIF4E_RIP_2016.csv~1.765",NA,NA
"ENSG00000066084","BCK_eIF4E_RIP_2016.csv~1.607",NA,NA
"ENSG00000066117","BCK_eIF4E_RIP_2016.csv~1.3122",NA,NA
"ENSG00000066135","BCK_eIF4E_RIP_2016.csv~1.2517",NA,NA
"ENSG00000066136","BCK_eIF4E_RIP_2016.csv~1.1552",NA,NA
"ENSG00000066427","BCK_eIF4E_RIP_2016.csv~1.70",NA,NA
"ENSG00000066923","BCK_eIF4E_RIP_2016.csv~1.2942",NA,NA
"ENSG00000066926","BCK_eIF4E_RIP_2016.csv~1.1219",NA,NA
"ENSG00000067057","BCK_eIF4E_RIP_2016.csv~1.37",NA,NA
"ENSG00000067141","BCK_eIF4E_RIP_2016.csv~1.2814",NA,NA
"ENSG00000067191","BCK_eIF4E_RIP_2016.csv~1.1272",NA,"MG_eIF4E_OE_DSG_2018.csv~1.63"
"ENSG00000067369","BCK_eIF4E_RIP_2016.csv~1.1465",NA,NA
"ENSG00000067445","BCK_eIF4E_RIP_2016.csv~1.3590",NA,NA
"ENSG00000067596","BCK_eIF4E_RIP_2016.csv~1.968",NA,NA
"ENSG00000067829","BCK_eIF4E_RIP_2016.csv~1.435",NA,NA
"ENSG00000067836","BCK_eIF4E_RIP_2016.csv~1.3314",NA,NA
"ENSG00000067900","BCK_eIF4E_RIP_2016.csv~1.120",NA,NA
"ENSG00000068097","BCK_eIF4E_RIP_2016.csv~1.2744",NA,NA
"ENSG00000068120","BCK_eIF4E_RIP_2016.csv~1.112",NA,NA
"ENSG00000068308","BCK_eIF4E_RIP_2016.csv~1.2858",NA,NA
"ENSG00000068323","BCK_eIF4E_RIP_2016.csv~1.3168",NA,NA
"ENSG00000068354","BCK_eIF4E_RIP_2016.csv~1.3276",NA,NA
"ENSG00000068394","BCK_eIF4E_RIP_2016.csv~1.1325",NA,NA
"ENSG00000068400","BCK_eIF4E_RIP_2016.csv~1.3041",NA,NA
"ENSG00000068438","BCK_eIF4E_RIP_2016.csv~1.209",NA,NA
"ENSG00000068489","BCK_eIF4E_RIP_2016.csv~1.2197",NA,NA
"ENSG00000068650","BCK_eIF4E_RIP_2016.csv~1.2417",NA,NA
"ENSG00000068654","BCK_eIF4E_RIP_2016.csv~1.1291",NA,NA
"ENSG00000068724","BCK_eIF4E_RIP_2016.csv~1.1348",NA,NA
"ENSG00000068745","BCK_eIF4E_RIP_2016.csv~1.1176",NA,NA
"ENSG00000068831","BCK_eIF4E_RIP_2016.csv~1.1629",NA,NA
"ENSG00000068971","BCK_eIF4E_RIP_2016.csv~1.2070",NA,NA
"ENSG00000068976","BCK_eIF4E_RIP_2016.csv~1.2397",NA,NA
"ENSG00000069248","BCK_eIF4E_RIP_2016.csv~1.424",NA,NA
"ENSG00000069399","BCK_eIF4E_RIP_2016.csv~1.3415",NA,NA
"ENSG00000069424","BCK_eIF4E_RIP_2016.csv~1.1167",NA,NA
"ENSG00000069966","BCK_eIF4E_RIP_2016.csv~1.505",NA,NA
"ENSG00000070010","BCK_eIF4E_RIP_2016.csv~1.556",NA,NA
"ENSG00000070047","BCK_eIF4E_RIP_2016.csv~1.1405",NA,NA
"ENSG00000070061","BCK_eIF4E_RIP_2016.csv~1.2050",NA,NA
"ENSG00000070366","BCK_eIF4E_RIP_2016.csv~1.2471",NA,NA
"ENSG00000070423","BCK_eIF4E_RIP_2016.csv~1.1064",NA,NA
"ENSG00000070444","BCK_eIF4E_RIP_2016.csv~1.3090",NA,NA
"ENSG00000070476","BCK_eIF4E_RIP_2016.csv~1.515",NA,NA
"ENSG00000070495","BCK_eIF4E_RIP_2016.csv~1.1628",NA,NA
"ENSG00000070540","BCK_eIF4E_RIP_2016.csv~1.1467",NA,NA
"ENSG00000070610","BCK_eIF4E_RIP_2016.csv~1.1704",NA,NA
"ENSG00000070614","BCK_eIF4E_RIP_2016.csv~1.2977",NA,NA
"ENSG00000070756","BCK_eIF4E_RIP_2016.csv~1.1907",NA,NA
"ENSG00000070770","BCK_eIF4E_RIP_2016.csv~1.1967",NA,NA
