Gene,logFC,t,P.Value,adj.P.Val,B,ensembl_gene_id
SEC24A,0.168174740076116,2.41978426699672,0.0223746917872911,0.042984703088843,-4.65177704252758,ENSG00000113615
PIK3AP1,0.168285246869325,2.5001276121588,0.0186399883633081,0.0368794527462404,-4.52156272774198,ENSG00000155629
MED25,0.168509851147572,2.44380996513959,0.0211915185358178,0.0410457235790725,-4.63710421027326,ENSG00000104973
HSD17B4,0.168599974609906,2.53522884692827,0.0171963135062133,0.0345069147219733,-4.45275350344239,ENSG00000133835
UBE4A,0.168733448330584,2.52779222181833,0.0174932550573704,0.0349999892756727,-4.48805693648104,ENSG00000110344
ZNF783,0.16891613776955,2.35338950550878,0.0259660375742566,0.0486671092574813,-4.75723152081068,ENSG00000204946
PHF20,0.170391200843179,2.48733438380547,0.0191934018777218,0.0378015680489172,-4.53130151406593,ENSG00000025293
SEL1L3,0.17114043322073,2.66504126332796,0.0127098772347011,0.026688069891335,-4.21279169584547,ENSG00000091490
RRP1,0.171206835418423,2.42352849196847,0.0221864034949156,0.0426734928258502,-4.64133200649824,ENSG00000160214
EDC4,0.17163879742685,2.38509464411911,0.0241900757195112,0.0458961142736993,-4.7488003707105,ENSG00000038358
TMF1,0.171733453641462,2.56413783195386,0.0160857448236947,0.0325907030346485,-4.38756819077078,ENSG00000144747
STK39,0.171887138743021,2.52837433395988,0.0174698416180376,0.0349693113979313,-4.44435951408997,ENSG00000198648
ATXN3,0.172171353526659,2.40504156484153,0.0231303931793264,0.0441815351842276,-4.65969764628341,ENSG00000066427
SYK,0.17246076889474,2.78079132862938,0.00965567357292242,0.0211791873622659,-3.99350938765662,ENSG00000165025
UCP2,0.172556446213562,2.6831109932187,0.0121799698057277,0.0257139825667789,-4.17981339409374,ENSG00000175567
POU2F1,0.172647245551336,2.75043581202115,0.0103820788852311,0.0224650883611591,-4.04934268442205,ENSG00000143190
