"Row","GeneID","geneSymbol"
"BCK_eIF4E_RIP_2016.csv~1.278","ENSG00000049541","RFC2"
"BCK_eIF4E_RIP_2016.csv~1.279","ENSG00000077454","LRCH4"
"BCK_eIF4E_RIP_2016.csv~1.280","ENSG00000084090","STARD7"
"BCK_eIF4E_RIP_2016.csv~1.281","ENSG00000165029","ABCA1"
"BCK_eIF4E_RIP_2016.csv~1.282","ENSG00000137478","FCHSD2"
"BCK_eIF4E_RIP_2016.csv~1.283","ENSG00000089177","KIF16B"
"BCK_eIF4E_RIP_2016.csv~1.284","ENSG00000107938","EDRF1"
"BCK_eIF4E_RIP_2016.csv~1.285","ENSG00000160193","WDR4"
"BCK_eIF4E_RIP_2016.csv~1.286","ENSG00000180198","RCC1"
"BCK_eIF4E_RIP_2016.csv~1.287","ENSG00000114857","NKTR"
"BCK_eIF4E_RIP_2016.csv~1.288","ENSG00000122729","ACO1"
"BCK_eIF4E_RIP_2016.csv~1.289","ENSG00000103653","CSK"
"BCK_eIF4E_RIP_2016.csv~1.290","ENSG00000124226","RNF114"
"BCK_eIF4E_RIP_2016.csv~1.291","ENSG00000158161","EYA3"
"BCK_eIF4E_RIP_2016.csv~1.292","ENSG00000165219","GAPVD1"
"BCK_eIF4E_RIP_2016.csv~1.293","ENSG00000141424","SLC39A6"
"BCK_eIF4E_RIP_2016.csv~1.294","ENSG00000115415","STAT1"
"BCK_eIF4E_RIP_2016.csv~1.295","ENSG00000104731","KLHDC4"
"BCK_eIF4E_RIP_2016.csv~1.296","ENSG00000143870","PDIA6"
"BCK_eIF4E_RIP_2016.csv~1.297","ENSG00000111679","PTPN6"
"BCK_eIF4E_RIP_2016.csv~1.298","ENSG00000155966","AFF2"
"BCK_eIF4E_RIP_2016.csv~1.299","ENSG00000148719","DNAJB12"
"BCK_eIF4E_RIP_2016.csv~1.300","ENSG00000099725","PRKY"
"BCK_eIF4E_RIP_2016.csv~1.301","ENSG00000024048","UBR2"
"BCK_eIF4E_RIP_2016.csv~1.302","ENSG00000081052","COL4A4"
"BCK_eIF4E_RIP_2016.csv~1.303","ENSG00000124198","ARFGEF2"
"BCK_eIF4E_RIP_2016.csv~1.304","ENSG00000076685","NT5C2"
"BCK_eIF4E_RIP_2016.csv~1.305","ENSG00000133706","LARS"
"BCK_eIF4E_RIP_2016.csv~1.306","ENSG00000180182","MED14"
"BCK_eIF4E_RIP_2016.csv~1.307","ENSG00000179526","SHARPIN"
"BCK_eIF4E_RIP_2016.csv~1.308","ENSG00000138496","PARP9"
"BCK_eIF4E_RIP_2016.csv~1.309","ENSG00000109689","STIM2"
"BCK_eIF4E_RIP_2016.csv~1.310","ENSG00000129255","MPDU1"
"BCK_eIF4E_RIP_2016.csv~1.311","ENSG00000198799","LRIG2"
"BCK_eIF4E_RIP_2016.csv~1.312","ENSG00000182841","RRP7B"
"BCK_eIF4E_RIP_2016.csv~1.313","ENSG00000227372","TP73-AS1"
"BCK_eIF4E_RIP_2016.csv~1.314","ENSG00000135925","WNT10A"
"BCK_eIF4E_RIP_2016.csv~1.315","ENSG00000185359","HGS"
"BCK_eIF4E_RIP_2016.csv~1.316","ENSG00000120253","NUP43"
"BCK_eIF4E_RIP_2016.csv~1.317","ENSG00000100029","PES1"
"BCK_eIF4E_RIP_2016.csv~1.318","ENSG00000164440","TXLNB"
"BCK_eIF4E_RIP_2016.csv~1.319","ENSG00000140836","ZFHX3"
"BCK_eIF4E_RIP_2016.csv~1.320","ENSG00000091127","PUS7"
"BCK_eIF4E_RIP_2016.csv~1.321","ENSG00000051341","POLQ"
"BCK_eIF4E_RIP_2016.csv~1.322","ENSG00000166526","ZNF3"
"BCK_eIF4E_RIP_2016.csv~1.323","ENSG00000198920","KIAA0753"
"BCK_eIF4E_RIP_2016.csv~1.324","ENSG00000112659","CUL9"
"BCK_eIF4E_RIP_2016.csv~1.325","ENSG00000169660","HEXDC"
"BCK_eIF4E_RIP_2016.csv~1.326","ENSG00000126653","NSRP1"
"BCK_eIF4E_RIP_2016.csv~1.327","ENSG00000164151","KIAA0947"
"BCK_eIF4E_RIP_2016.csv~1.328","ENSG00000116754","SRSF11"
"BCK_eIF4E_RIP_2016.csv~1.329","ENSG00000134287","ARF3"
"BCK_eIF4E_RIP_2016.csv~1.330","ENSG00000103404","USP31"
"BCK_eIF4E_RIP_2016.csv~1.331","ENSG00000072818","ACAP1"
"BCK_eIF4E_RIP_2016.csv~1.332","ENSG00000171848","RRM2"
"BCK_eIF4E_RIP_2016.csv~1.333","ENSG00000127663","KDM4B"
"BCK_eIF4E_RIP_2016.csv~1.334","ENSG00000182670","TTC3"
"BCK_eIF4E_RIP_2016.csv~1.335","ENSG00000113282","CLINT1"
"BCK_eIF4E_RIP_2016.csv~1.336","ENSG00000157881","PANK4"
"BCK_eIF4E_RIP_2016.csv~1.337","ENSG00000122678","POLM"
"BCK_eIF4E_RIP_2016.csv~1.338","ENSG00000162813","BPNT1"
"BCK_eIF4E_RIP_2016.csv~1.339","ENSG00000136205","TNS3"
"BCK_eIF4E_RIP_2016.csv~1.340","ENSG00000138674","SEC31A"
